ç
Nome,Designação,Bairro,Artes Cênicas,Artes Industriais,Artes Plasticas,Ciências,Educação Física,Educação Musical,Educação Para O Lar,Espanhol,Francês,Geografia,História,Inglês,Língua Portuguesa,Matemática,Técnicas Agrícolas,Técnicas Comerciais,Educação Infantil,Ensino Fundamental,Ensino Religioso,Professor II,Séries Atendidas,Latitude,Longitude
CLOVIS BEVILAQUA,"0410015",Olaria,0,0,0,1,3,1,0,0,0,0,1,2,1,0,0,0,0,0,0,21,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,"-22.8489609390444","-43.2651023124783"
CHILE,"0410016",Olaria,0,0,0,2,2,5,0,0,0,2,2,3,4,2,0,0,0,2,0,2,7º Ano/8º Ano/9º Ano,"-22.8480948278133","-43.2682159063701"
LAIS NETTO DOS REIS,"0410017",Olaria,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.847814853475","-43.26758927201"
BERLIM,"0410018",Olaria,0,0,1,3,4,2,0,0,0,4,2,2,4,4,0,0,0,2,0,6,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,"-22.8473053079714","-43.261070777952"
CORONEL ASSUNCAO,"0410019",Olaria,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.8489025234237","-43.2722532059412"
JORACY CAMARGO,"0410020",Olaria,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,21,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Classe Especial/Pré-Escola/Realfabetização 1,"-22.8478354876987","-43.2801985605089"
BRASIL,"0410021",Olaria,0,0,1,3,3,1,1,0,0,2,1,3,5,1,0,0,0,3,0,20,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.8427683769495","-43.2603741341841"
ODILON DE ANDRADE,"0410022",Olaria,0,0,3,4,5,0,0,0,1,7,5,2,7,5,0,0,0,4,0,6,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/Classe Especial/Realfabetização 2,"-22.8520702739491","-43.2772188638761"
LUIZ CESAR SAYAO GARCEZ,"0410023",Olaria,0,0,1,0,6,2,0,0,0,0,0,4,1,0,0,0,0,0,0,23,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Aceleração 1/Classe Especial/PROJOVEM/Pré-Escola/Realfabetização 1,"-22.8480453980552","-43.2732458280818"
MIGUEL COUTO,"0410024",Olaria,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Creche/Pré-Escola,"-22.8394149706559","-43.2656681235626"
ANIBAL FREIRE,"0410025",Olaria,1,0,3,4,4,1,0,0,0,4,4,3,9,6,0,0,0,1,0,2,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3,"-22.8415703841872","-43.267830194852"
PROFESSORA MARIA DE CERQUEIRA E SILVA,"0410026",Manguinhos,0,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,1,1,0,27,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola/Realfabetização 1,"-22.8823732702182","-43.2487560059705"
YURI GAGARIN,"0410202",Bonsucesso,0,0,0,2,4,1,0,0,0,1,0,2,1,2,0,0,0,0,0,40,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.8549002571968","-43.2543025294523"
PRESIDENTE JUSCELINO KUBITSCHEK,"0410501",Manguinhos,0,0,3,4,4,1,0,0,0,1,2,5,3,2,0,0,0,3,0,17,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Classe Especial/Pré-Escola/Realfabetização 1,"-22.8803402207979","-43.2494929074368"
MAESTRO FRANCISCO MIGNONE,"0410502",Olaria,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,8,1,19,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Creche/Pré-Escola,"-22.8525385965123","-43.2773365828539"
MANGUINHOS,"0410601",Manguinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Creche,"-22.8799495435583","-43.2497572022665"
DR. JUVENIL DE SOUZA LOPES,"0410602",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,Creche,"-22.8550689211109","-43.2533017468777"
CHICO BENTO,"0410603",Benfica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,Creche,"-22.8822743981492","-43.2487529881181"
DOUTOR DOMINGOS ARTHUR MACHADO FILHO,"0410801",Manguinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,Creche/Pré-Escola,"-22.8841931424029","-43.2478771324558"
DOUTOR ANTÔNIO FERNANDES FIGUEIRA,"0410802",Manguinhos - Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,Creche/Pré-Escola,"-22.8828943738708","-43.2529634414436"
JOAQUIM VENÂNCIO,"0410803",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,Creche/Pré-Escola,"-22.8750204277948","-43.2545569294053"
SARGENTO JORGE FALEIRO DE SOUZA,"0410804",Olaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,Creche,"-22.8520459467025","-43.2742096744203"
COMPOSITOR NEOCI DIAS DE ANDRADE,"0410805",Olaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,Creche/Pré-Escola,"-22.8493736910437","-43.2649639728817"
PIERRE JANET,"0410806",Ramos,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Pré-Escola,"-22.9035393","-43.2095869"
PROFESSORA TANIA DA ROCHA CORREA,"0410807",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,,"-22.852670","-43.277741"
MONSENHOR ROCHA,"0411001",Penha,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,25,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Aceleração 1/Pré-Escola,"-22.8459104856443","-43.282661028375"
BERNARDO DE VASCONCELLOS,"0411002",Penha,0,0,0,2,2,2,0,0,0,0,4,2,4,2,0,0,0,2,0,4,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3,"-22.8451434256071","-43.2836331576089"
SAO VICENTE,"0411003",Penha,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,14,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Creche/Pré-Escola/Realfabetização 1,"-22.8441939741184","-43.2820587858422"
LEONOR COELHO PEREIRA,"0411004",Penha,1,0,0,4,4,0,0,0,0,2,2,3,2,3,0,0,0,1,0,9,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3,"-22.8455059199966","-43.2828294480402"
PRESIDENTE EURICO DUTRA,"0411005",Penha,0,0,1,4,6,1,0,0,0,3,5,2,5,4,0,0,1,3,0,17,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/Classe Especial/Creche/Pré-Escola,"-22.838907092481","-43.2678941038098"
CONDE DE AGROLONGO,"0411006",Penha,0,0,2,0,5,0,0,1,0,0,0,3,0,1,0,0,0,2,0,29,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/Aceleração 1/Aceleração 3/Classe Especial/Pré-Escola/Realfabetização 1,"-22.8371717441922","-43.2793789801179"
ARIOSTO ESPINHEIRA,"0411007",Penha,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/Pré-Escola,"-22.8336025382879","-43.2706641114034"
PROFESSOR SOUZA CARNEIRO,"0411008",Penha Circular,0,0,2,4,2,1,0,1,0,1,2,1,2,2,0,0,0,0,2,4,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Classe Especial,"-22.828978768751","-43.2748817071185"
CIENTISTA MARIO KROEFF,"0411009",Penha,0,0,2,3,6,1,0,0,1,4,4,5,10,6,0,0,0,2,0,9,4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/Classe Especial/PROJOVEM/Realfabetização 2,"-22.8384790427186","-43.2747964497464"
BRANT HORTA,"0411010",Penha Circular,0,0,1,1,2,0,0,0,0,2,5,4,7,3,0,0,0,2,0,7,4º Ano/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/Aceleração 2A,"-22.8351823407576","-43.2877820640694"
PROFESSOR AUGUSTO MOTTA,"0411011",Penha Circular,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,22,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/Pré-Escola/Realfabetização 1,"-22.8350390294135","-43.2880053149668"
JOAO MARQUES DOS REIS,"0411012",Brás de Pina,1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,21,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola,"-22.8375381895518","-43.299706664061"
FERNANDO TUDE DE SOUZA,"0411013",Brás de Pina,1,0,0,2,1,0,0,0,1,2,2,2,2,1,0,0,0,1,0,4,6º Ano/7º Ano/8º Ano/9º Ano,"-22.8376906048249","-43.2999103586046"
JOAO DE DEUS,"0411014",Penha Circular,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.8294605827815","-43.2817341748038"
SUICA,"0411015",Penha Circular,0,0,1,1,4,0,0,0,0,1,0,2,1,1,0,0,0,0,0,13,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,"-22.8283692175398","-43.2788050721058"
EDMUNDO DA LUZ PINTO,"0411016",Penha Circular,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.8250008651424","-43.2784868655671"
MINISTRO AFRANIO COSTA,"0411017",Penha Circular,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,10,1º Ano/2º Ano/3º Ano/Classe Especial/Creche/Pré-Escola,"-22.8247547626295","-43.278321907656"
PROFESSOR ARY QUINTELLA,"0411018",Vila Da Penha,0,0,1,2,2,1,0,0,0,2,2,1,4,4,0,0,0,0,0,3,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3,"-22.8389268893818","-43.29969498283"
PIONEIRAS SOCIAIS Nº 12,"0411019",Penha Circular,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.8360529256123","-43.2856877442441"
GRECIA,"0411020",Vila Da Penha,0,0,2,3,2,1,0,1,0,5,3,2,9,4,0,0,0,1,0,8,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/Classe Especial/Pré-Escola,"-22.8373451837509","-43.3121624379959"
MIGUEL ANGELO,"0411021",Vila Da Penha,0,0,1,2,1,0,0,0,0,3,2,2,5,3,0,0,0,0,0,6,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3,"-22.8443419037351","-43.3041597559302"
MARCILIO DIAS,"0411022",Brás de Pina,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.8342305716439","-43.307436241828"
MINISTRO PLINIO CASADO,"0411023",Brás de Pina,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,2,14,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/Pré-Escola,"-22.8343211995275","-43.2934350490735"
GOETHE,"0411027",Brás de Pina,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.8253174122621","-43.2864955120856"
SAO PAULO,"0411028",Brás de Pina,0,0,3,1,8,0,0,0,1,3,3,3,3,2,0,0,0,2,0,19,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/Classe Especial/Realfabetização 1,"-22.8266521987703","-43.2873239349917"
F. J. OLIVEIRA VIANA,"0411036",Brás de Pina,0,0,3,1,2,0,0,0,0,1,3,2,8,3,0,0,0,2,0,4,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3,"-22.8242287376878","-43.2909965984762"
CANTOR COMPOSITOR GONZAGUINHA,"0411049",Penha Circular,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano,"-22.8184084009654","-43.2718913793369"
GREGORIO BEZERRA,"0411202",Penha,0,0,0,1,4,0,0,0,0,1,0,2,1,1,0,0,1,2,0,32,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Classe Especial/Creche/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.8417276893403","-43.2791471939943"
DEPUTADO CARLOS BRANDÃO MONTEIRO,"0411502",Penha,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,6,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Pré-Escola,"-22.8507572587588","-43.2832242119511"
CARLOS DRUMMOND DE ANDRADE,"0411601",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,Creche/PIC,"-22.8433583230504","-43.2873704925121"
TEMPO DE APRENDER,"0411602",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,Creche,"-22.8397263623065","-43.288562302377"
MORRO DA PAZ,"0411603",Praça Do Carmo/Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,Creche,"-22.8431663155513","-43.2961757899008"
BETINHO,"0411604",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,Creche,"-22.8458183696574","-43.2913770088622"
CARACOL,"0411605",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,Creche,"-22.8435732108763","-43.2890660778398"
MARIA ALTAMIRA C. OLEGÁRIO,"0411607",Vila Da Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,Creche,"-22.8337845680271","-43.297907599177"
TIA RUTH COSTA DOS SANTOS,"0411609",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,Creche,"-22.8371263088913","-43.2661928300142"
MUSSUM - O TRAPALHÃO,"0411610",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,Creche,"-22.8408166478081","-43.2927106878055"
MARIANA ROCHA DE SOUZA,"0411801", Penha Circular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,Creche/Pré-Escola,"-22.8453636858337","-43.3043658877223"
JOEL LUIZ DE AZEVEDO BASTOS,"0411802",Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,Creche/Pré-Escola,"-22.8462633014499","-43.2974422823584"
MARIA DE LOURDES FERREIRA,"0411803",PENHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,Creche,"",""
MORRO DA FÉ,"0411804",Vila Da Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,Creche/Pré-Escola,"-22.846070","-43.297963"
PROFESSOR JOSUE DE CASTRO,"0430001",Vila do João / Maré,0,0,2,4,7,1,0,2,0,1,7,4,8,5,0,0,0,4,0,17,2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 3/Classe Especial/Realfabetização 1,"-22.8732531181227","-43.2403386099631"
TEOTONIO VILELA,"0430002",Manguinhos,0,0,1,2,8,2,0,2,0,2,3,2,3,5,0,0,2,2,0,25,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/Classe Especial/Pré-Escola/Realfabetização 1,"-22.8757332371361","-43.238410222069"
BAHIA,"0430003",Bonsucesso,0,0,2,6,3,1,0,0,0,4,5,4,5,4,0,0,0,5,0,3,4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 3/Realfabetização 1,"-22.8639739792451","-43.2466020990868"
IV CENTENARIO,"0430004",Bonsucesso,0,0,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,1,0,11,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Pré-Escola,"-22.8609819488304","-43.2430134011771"
TENENTE GENERAL NAPION,"0430005",Ramos,0,0,2,5,4,0,0,1,0,5,6,1,7,4,0,0,0,6,0,15,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/Realfabetização 1,"-22.846392039732","-43.2462633341104"
ARMANDO DE SALLES OLIVEIRA,"0430006",Ramos,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,19,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Classe Especial/Pré-Escola,"-22.8410683305074","-43.249147493032"
NOVA HOLANDA,"0430007",Bonsucesso,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano,"-22.8539820655901","-43.2425144698463"
PROFESSOR PAULO FREIRE,"0430009",Bonsucesso,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,25,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Pré-Escola/Realfabetização 1,"-22.8643256017728","-43.2393273597153"
ESCRITOR BARTOLOMEU CAMPOS DE QUEIRÓS,"0430010",Bonsucesso ( maré ),0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,2,0,15,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano,"-22.861070448338","-43.2378098498728"
ESCRITOR LEDO IVO,"0430011",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1º Ano/2º Ano/3º Ano,"-22.865303","-43.241963"
MINISTRO GUSTAVO CAPANEMA,"0430201",Bonsucesso,0,0,0,1,3,1,0,0,0,0,1,1,1,1,0,0,0,6,0,26,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,"-22.8686500557842","-43.2375415212219"
OPERARIO VICENTE MARIANO,"0430204",Bonsucesso,0,0,0,2,4,2,0,0,0,0,4,1,5,2,0,0,0,3,0,2,7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A/Aceleração 3/Classe Especial,"-22.8611649301703","-43.237640889089"
HELIO SMIDT,"0430206",Bonsucesso,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,12,0,18,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Classe Especial/Pré-Escola/Realfabetização 1,"-22.8524940520024","-43.240380115922"
PRESIDENTE SAMORA MACHEL,"0430501",Bonsucesso,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,9,0,26,1º Ano/2º Ano/3º Ano/4º Ano - NCM/Aceleração 1/Classe Especial/Pré-Escola/Realfabetização 1,"-22.8573019790101","-43.2408544277377"
ELIS REGINA,"0430502",Bonsucesso,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,8,0,21,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Classe Especial/Realfabetização 1,"-22.8573437492887","-43.2400785357623"
LEONEL DE MOURA BRIZOLA,"0430503",Ramos,0,0,1,1,3,0,0,0,0,1,0,2,1,1,0,0,1,7,1,19,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Classe Especial/Creche/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,"-22.8390905884874","-43.2530046270367"
MENINO MALUQUINHO,"0430601",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,Creche,"-22.8708992144864","-43.2380980239446"
VILA PINHEIRO,"0430602",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Creche,"-22.869259405208","-43.2362122716462"
TIO MÁRIO,"0430603",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,Creche,"-22.8729404615551","-43.2391717571783"
MONTEIRO LOBATO,"0430604",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Creche,"-22.8558310772244","-43.2427323096772"
NOVA HOLANDA,"0430605",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Creche,"-22.8552735549688","-43.2415269562504"
PESCADOR ALBANO ROSA,"0430606",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,Creche,"-22.8640962374465","-43.2385433109222"
PROFESSOR PAULO FREIRE,"0430607",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Creche,"-22.8590155490936","-43.2396765954628"
CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS CEJA - MARÉ,"0430701",Bonsucesso,0,0,0,3,0,1,0,0,0,0,1,1,3,2,0,0,0,0,0,6,PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2,"-22.866349","-43.242138"
PESCADOR ISIDORO DUARTE - DORO,"0430801",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,Creche,"-22.8617532544246","-43.2382479710909"
PROFESSORA KELITA FARIA DE PAULA,"0430802",Bonsucesso - Maré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,Creche/Pré-Escola,"-22.8653716575567","-43.2432390132301"
PROFESSOR MOACYR DE GÓES,"0430803",Bonsucesso - Maré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,Creche,"-22.8574052810699","-43.2396155791318"
CREMILDA DA SILVA DOS SANTOS,"0430804",Bonsucesso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Pré-Escola,"-22.8610314759261","-43.237633554691"
PROFESSORA SOLANGE CONCEIÇÃO TRICARICO,"0430805",BONSUCESSO,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,Creche/PIC,"-22.8647717","-43.2440296"
ARY BARROSO,"0431001",Cordovil,0,0,1,2,1,0,0,0,0,2,2,1,4,0,0,0,0,2,0,3,6º Ano/7º Ano/8º Ano/9º Ano,"-22.8325835773302","-43.3062743752801"
DAVID PEREZ,"0431002",Cordovil,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/Classe Especial/Creche/Pré-Escola,"-22.8295892969349","-43.3057455124759"
MIGUEL GUSTAVO,"0431003",Cordovil,0,0,1,1,2,0,0,0,0,0,1,2,1,1,0,0,1,1,0,26,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola,"-22.8341775945364","-43.3019725578098"
ALFREDO GOMES,"0431004",Cordovil,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/Classe Especial,"-22.8257866091528","-43.3044423904924"
PROFESSOR EMMANUEL PEREIRA FILHO,"0431005",Cordovil,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,1º Ano/2º Ano/3º Ano/Pré-Escola,"-22.8262137218657","-43.3063777097885"
SAO JOAO BATISTA,"0431006",Cordovil,0,0,1,0,3,1,0,1,0,1,0,2,0,0,0,0,0,0,0,18,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/7º Ano - NJM/Pré-Escola,"-22.8258895122189","-43.3069510676832"
EMBAIXADOR BARROS HURTADO,"0431007",Cordovil,0,0,2,2,2,0,0,0,0,1,4,2,4,1,0,0,0,3,0,4,4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Realfabetização 1,"-22.8267416234077","-43.3061064026302"
ODILON BRAGA,"0431008",Cordovil,1,0,1,3,1,0,0,1,0,3,1,0,4,4,0,0,0,0,0,2,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano,"-22.8260568600314","-43.307108674184"
RORAIMA,"0431009",Cordovil,1,0,1,2,3,0,0,0,0,1,2,2,2,3,0,0,0,1,0,11,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/7º Ano/8º Ano/9º Ano/Aceleração 2A/Classe Especial/Realfabetização 1,"-22.8228431977546","-43.2950870724861"
ARMANDO FAJARDO,"0431010",Cordovil,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano,"-22.8175201413","-43.2938100237619"
